ItemNumber,ItemName,CategoryName,CountryState
1717,Stags' Leap Merlot 750ml,Merlot,California
685,Duckhorn Red Howell Mtn (Cabernet) 750ml,Cabernet Sauvignon,California
1374,Murphy Goode Zinfandel Liar's Dice 750ml,Zinfandel,California
1420,Pahlmeyer Jayson Red 750ml,Cabernet Sauvignon,California
1922,William Hill Cabernet Napa 750ml,Cabernet Sauvignon,California
51,Almaden Rhine Blend 5LBox,Box Wines,California
44,Almaden Burgundy 5LBox,Box Wines,California
571,Corbett Canyon Chardonnay 1.5L,1.5L Chard,California
823,Franzia Crisp White 5LBox,Box Wines,Global
186,Benziger Sauvignon Blanc North Cst 750ml,Sauvignon Blanc,California
1730,Sterling Sauvignon Blanc Napa 750ml,Sauvignon Blanc,California
1110,Kunde Cabernet Sonoma 750ml 2015,Cabernet Sauvignon,California
1074,Kendall Jackson Grand Rsv Cabernet 750ml,Cabernet Sauvignon,California
1561,Rodney Strong Cabernet Sonoma 750ml,Cabernet Sauvignon,California
1562,Rodney Strong Chard Chalk Hill 750ml,Chardonnay,California
1661,Silverado Cabernet 750ml,Cabernet Sauvignon,California
1869,Vendange Chardonnay 1.5L,1.5L Chard,California
526,Concha Y Toro Frontera Cab Merlot 750ml,Cabernet Sauvignon,Chile
1722,Starmont Chardonnay 750ml,Chardonnay,California
1072,Kendall Jackson Chardonnay 750ml,Chardonnay,California
1894,Villa Antinori Chianti Class Rsv 750ml,Tuscany,Italy
759,Fetzer Sundial Chardonnay 750ml,Chardonnay,California
757,Fetzer Gewurztraminer 750ml,Gewurztraminer/Riesling,California
1448,Perrin Reserve Rouge 750ml,Rhone,France
1586,Ruffino Chianti Ris Ducale Tan 750ml,Tuscany,Italy
1585,Ruffino Chianti Ris Ducale Gold 750ml,Tuscany,Italy
1465,Piper Heidsieck Extra Dry 750ml,French Champagne,France
1466,Piper Sonoma Brut 750ml,Wine - Sparkling,California
1569,Roederer Estate Brut 750ml,Wine - Sparkling,California
357,Carlo Rossi Burgundy 4L,Wine - 3L/4L,California
1187,Livingston Cellars Burgundy 3L,Wine - 3L/4L,California
1193,Livingston Cellars Rhine 3L,Wine - 3L/4L,California
872,Gallo Family Vineyards Chardonnay 1.5L,1.5L Chard,California
871,Gallo Family Vineyards Cabernet 1.5L,1.5L Cabernet,California
731,Fairbanks Port 1.5L,Port/Sherry,California
1653,Sheffield Very Dry Sherry 1.5L,Port/Sherry,California
55,Andre Blush 750ml,Wine - Sparkling,California
56,Andre Brut 750ml,Wine - Sparkling,California
332,BV Coastal Pinot Noir 750ml,Pinot Noir,California
334,BV Rutherford Cabernet 750ml,Cabernet Sauvignon,California
329,BV Coastal Cabernet 750ml,Cabernet Sauvignon,California
198,Beringer Chenin Blanc 750ml,Misc White,California
902,Glen Ellen Chardonnay 1.5L,1.5L Chard,California
1042,Jordan Cabernet 750ml,Cabernet Sauvignon,California
1043,Jordan Chardonnay 750ml,Chardonnay,California
1713,Stag's Leap Wine Cel. Cab Artemis 750ml,Cabernet Sauvignon,California
1727,Sterling Cabernet Napa 750ml,Cabernet Sauvignon,California
1728,Sterling Chardonnay Napa County 750ml,Chardonnay,California
1741,Sutter Home Cabernet 187ml-4p,Wine (Misc),California
1744,Sutter Home Chenin Blanc 750ml,Misc White,California
1753,Sutter Home Moscato 1.5L,1.5L Other White,California
1755,Sutter Home Moscato 750ml,Misc White,California
1750,Sutter Home Fre White Zinfandel 750ml,Wine (Misc),California
381,Castello D'Albola Chianti Classico 750ml,Tuscany,Italy
546,Cooks Brut Champagne 750ml,Wine - Sparkling,California
549,Cooks Extra Dry 750ml,Wine - Sparkling,California
847,Freixenet Cordon Negro Brut 750ml,Wine - Sparkling,Spain
1011,J Vineyards Cuvee 20 Brut 750ml,Wine - Sparkling,California
1099,Korbel Brut 187ml-4p,Wine - Sparkling,California
1369,Mumm Napa Brut Rose 750ml,Wine - Sparkling,California
1886,Veuve Clicquot Brut NV 750ml,French Champagne,France
1892,Veuve Clicquot La Grande Dame 750ml,French Champagne,France
758,Fetzer Sundial Chardonnay 1.5L,1.5L Chard,California
1620,Santa Rita Cabernet 120 750ml,Cabernet Sauvignon,Chile
1584,Ruffino Chianti 750ml,Tuscany,Italy
1464,Piper Heidsieck Brut 750ml,French Champagne,France
356,Carlo Rossi Blush 4L,Wine - 3L/4L,California
1729,Sterling Merlot Napa 750ml,Merlot,California
1843,Trimbach Riesling 750ml,Alsace,France
796,Fontana Candida Frascati 1.5L,1.5L Other White,Italy
1259,Mateus Rose 750ml,Wine - Portugal,Portugal
547,Cooks Extra Dry 1.5L,Wine - Sparkling,California
846,Freixenet Cordon Negro Brut 187ml-3p,Wine - Sparkling,Spain
1883,Veuve Clicquot Brut NV 375ml,Wine - Sparkling,France
1230,Manischewitz Cr Peach 750ml,Wine (Misc),New York
488,Clos du Bois Cabernet 750ml,Cabernet Sauvignon,California
1098,Korbel Blanc de Noirs 750ml,Wine - Sparkling,California
1613,Sandeman Fine Tawny 750ml,Port/Sherry,Portugal
1612,Sandeman 20 Yr Tawny 750ml,Port/Sherry,Portugal
1798,Taylor Port 750ml,Port/Sherry,California
1803,Taylor Tawny Port 1.5L,Port/Sherry,California
1163,Liberty School Cabernet Paso 750ml,Cabernet Sauvignon,California
1880,Verdi Spumante 750ml,Wine - Sparkling,Italy
927,Grgich Hills Fume Blanc 750ml,Sauvignon Blanc,California
1451,Peter Vella Burgundy 5LBox,Box Wines,California
1450,Peter Vella Blush 5LBox,Box Wines,California
1030,Jadot Bourgogne Pinot Noir 750ml,Burgundy,France
642,DeLoach Chardonnay Russian River 750ml,Chardonnay,California
1645,Sequoia Grove Cabernet 750ml,Cabernet Sauvignon,California
638,Decoy By Duckhorn Red 750ml,Cabernet Sauvignon,California
277,Bolla Pinot Grigio 1.5L,1.5L Pinot Grigio,Italy
1745,Sutter Home Fre Brut 750ml,Wine (Misc),California
916,Graham's 20 yr Tawny 750ml,Port/Sherry,Portugal
1028,Jadot Beaujolais Villages 750ml,Beaujolais,France
1027,Jadot Beaujolais 750ml,Beaujolais,France
117,Banfi Centine Tuscan Red 750ml,Tuscany,Italy
1550,Riunite Lambrusco 1.5L,Wine - White Zin./Beverage,Italy
887,Gekkeikan Plum 750ml,Wine (Misc),California
1242,Markham Merlot Napa 750ml,Merlot,California
1328,Mondavi Napa Fume Blanc 750ml,Sauvignon Blanc,California
1253,Martini & Rossi Asti 750ml,Wine - Sparkling,Italy
1650,Shafer Red Shoulder Chardonnay 750ml 2011,Chardonnay,California
1701,St Francis Chardonnay 750ml,Chardonnay,California
762,Fetzer Valley Oaks Merlot 750ml,Merlot,California
1572,Rombauer Merlot 750ml,Merlot,California
27,Acacia Carneros Chardonnay 750ml,Chardonnay,California
49,Almaden Mountain Chablis 5LBox,Box Wines,California
52,Almaden White Zinfandel 5LBox,Box Wines,California
1614,Sandeman Founders Reserve Porto 750ml,Port/Sherry,Portugal
1551,Riunite Lambrusco 3L,Wine - White Zin./Beverage,Italy
1327,Mondavi Napa Cabernet 750ml,Cabernet Sauvignon,California
1324,Mondavi Chardonnay Napa 750ml,Chardonnay,California
1080,Kendall Jackson Riesling 750ml,Gewurztraminer/Riesling,California
267,Bogle Merlot 750ml,Merlot,California
40,Alexander Valley Cabernet 750ml,Cabernet Sauvignon,California
1721,Starmont Cabernet 750ml,Cabernet Sauvignon,California
1456,Peter Vella Delicious White 5LBox,Box Wines,California
1142,Latour Pouilly Fuisse 750ml,Burgundy,France
1783,Talbott Chardonnay Logan 750ml,Chardonnay,California
169,Barone Fini Pinot Grigio 750ml 2018,Pinot Grigio,Italy
530,Concha Y Toro Frontera Chardonnay 1.5L,1.5L Chard,Chile
569,Corbett Canyon Cabernet 1.5L,1.5L Cabernet,California
833,Franzia Refreshing Wt 5LBox,Box Wines,Global
282,Bonterra Cabernet 750ml,Cabernet Sauvignon,California
1637,Sebastiani Merlot Sonoma 750ml,Merlot,California
1802,Taylor Sherry Golden 1.5L,Port/Sherry,California
50,Almaden Pinot Grigio 5LBox,Box Wines,California
340,Cakebread Chardonnay Napa 750ml,Chardonnay,California
342,Cakebread Sauvignon Blanc 750ml,Sauvignon Blanc,California
834,Franzia Sunset Blush 5LBox,Box Wines,Global
822,Franzia Chillable Red 5LBox,Box Wines,Global
1075,Kendall Jackson Merlot 750ml,Merlot,California
1078,Kendall Jackson Pinot Noir 750ml,Pinot Noir,California
1070,Kendall Jackson Cabernet 750ml,Cabernet Sauvignon,California
1566,Rodney Strong Sauvignon Blanc 750ml,Sauvignon Blanc,California
1565,Rodney Strong Pinot Noir Russian R 750ml,Pinot Noir,California
1868,Vendange Cabernet 1.5L,1.5L Cabernet,California
1871,Vendange Merlot 1.5L,1.5L Merlot,California
1579,Rosemount Shiraz 750ml,Syrah/Shiraz,Australia
520,Concha Y Toro Casillero Cabernet 750ml,Cabernet Sauvignon,Chile
535,Concha Y Toro Frontera Sauvignon B 1.5L,1.5L Sauv Blanc,Chile
524,Concha Y Toro Don Melchor Cabernet 750ml 2010,Cabernet Sauvignon,Chile
1060,Justin Cabernet Paso Robles 750ml,Cabernet Sauvignon,California
426,Ch Ste Michelle Gewurztraminer 750ml,Gewurztraminer/Riesling,Washington
512,Columbia Crest Grand Estate Merlot 750ml 2001,Merlot,Washington
1416,Pahlmeyer Chardonnay Napa 750ml,Chardonnay,California
1113,Kunde Sauv Blanc Magnolia Lane 750ml 2018,Sauvignon Blanc,California
1491,R Collection Cabernet (Raymond) 750ml,Cabernet Sauvignon,California
1791,Taylor Fladgate 20 Yr Tawny 750ml,Port/Sherry,Portugal
1792,Taylor Fladgate 40 Yr Tawny 750ml,Port/Sherry,Portugal
917,Graham's 30 yr Tawny 750ml,Port/Sherry,Portugal
918,Graham's 40 yr Tawny 750ml,Port/Sherry,Portugal
1564,Rodney Strong Merlot Sonoma 750ml,Merlot,California
510,Columbia Crest Chard Two Vines 750ml,Chardonnay,Washington
748,Ferrari-Carano Cabernet 750ml 2004,Cabernet Sauvignon,California
749,Ferrari-Carano Chardonnay 750ml,Chardonnay,California
